578	0	223
578	0	354
578	0	341
578	0	92
578	0	324
578	0	363
578	0	356
578	0	190
578	0	77
578	0	163
578	0	347
578	0	251
578	0	368
578	0	166
578	0	214
578	0	321
578	0	565
578	0	108
578	0	492
578	0	398
578	0	408
578	0	14
578	0	348
578	0	322
578	0	401
578	0	489
578	0	45
578	0	168
578	0	429
578	0	118
578	0	462
578	0	211
578	0	488
578	0	152
578	0	539
578	0	87
578	0	93
578	0	260
578	0	454
578	0	245
578	0	328
578	0	567
578	0	64
578	0	325
578	0	23
578	0	248
578	0	380
578	0	22
578	0	327
578	0	78
578	0	568
578	0	421
578	0	62
578	0	116
578	0	413
578	0	15
578	0	189
578	0	167
578	0	227
578	0	158
578	0	269
578	0	545
578	0	141
578	0	490
578	0	495
578	0	255
325	1	579
325	2	580
325	3	581
325	2	582
325	4	583
325	5	584
325	6	585
325	4	586
325	6	587
325	7	588
325	4	589
325	6	590
325	1	591
325	4	592
325	5	581
325	6	593
325	8	594
325	1	588
325	9	595
325	10	596
325	1	597
325	2	598
325	11	578
325	6	599
325	12	600
325	4	601
325	6	602
325	2	603
325	6	604
325	6	605
325	6	606
325	6	607
325	4	608
325	6	603
325	13	581
325	4	609
325	1	610
325	2	611
325	4	612
325	6	613
325	4	614
325	6	615
325	6	616
325	4	617
325	6	618
325	14	619
325	6	620
325	1	621
325	6	622
325	6	623
325	9	624
325	4	625
325	6	626
325	15	579
325	15	591
325	15	588
325	15	597
325	15	610
325	15	621
548	3	627
548	16	628
548	1	579
548	1	629
548	17	630
548	17	631
548	17	632
548	18	627
548	17	633
548	1	634
548	17	635
548	14	636
548	6	636
548	17	637
548	7	634
548	6	638
548	1	591
548	17	601
548	2	639
548	6	640
548	1	597
548	6	641
548	1	621
548	8	642
548	6	604
548	2	643
548	2	644
548	17	645
548	1	610
548	6	646
548	6	647
548	9	640
548	2	648
548	9	649
548	1	588
548	1	650
548	6	651
548	9	651
548	15	579
548	15	629
548	15	634
548	15	591
548	15	597
548	15	621
548	15	610
548	15	588
548	15	650
181	1	597
181	9	652
181	6	653
181	9	654
181	6	655
181	17	635
181	12	656
181	1	610
181	2	639
181	1	657
181	14	658
181	6	659
181	1	621
181	2	611
181	1	629
181	1	591
181	7	588
181	8	594
181	2	643
181	6	660
181	17	645
181	6	661
181	1	579
181	6	662
181	17	633
181	2	644
181	6	644
181	1	588
181	9	624
181	6	643
181	11	663
181	14	664
181	9	595
181	15	597
181	15	610
181	15	657
181	15	621
181	15	629
181	15	591
181	15	579
181	15	588
77	1	579
77	1	591
77	9	595
77	11	578
77	6	665
77	2	666
77	6	603
77	1	667
77	6	620
77	14	664
77	1	629
77	12	668
77	1	621
77	7	634
77	6	607
77	1	597
77	2	669
77	6	613
77	6	593
77	1	610
77	19	78
77	6	615
77	6	670
77	1	588
77	2	580
77	10	671
77	1	672
77	1	673
77	20	492
77	2	603
77	2	582
77	2	622
77	8	642
77	6	674
77	1	634
77	15	579
77	15	591
77	15	667
77	15	629
77	15	621
77	15	597
